GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
2SAT-comparison,comparison,Main,10,0,0,0,4,0,2,0,2,0
2SAT-comparison,comparison,KosarajuAlgorithm,0,244,0,28,0,48,0,19,0,5
2SAT-comparison,comparison,BruteForce,0,176,2,32,0,25,2,18,0,3
2SAT-comparison,comparison,TarjanAlgorithm,8,327,1,35,3,56,3,22,2,5
2SAT-comparison,util,CustomArrayList.ArrayIterator,4,34,1,3,1,7,1,4,0,3
2SAT-comparison,util,GraphUtils,97,204,9,13,20,23,7,9,2,3
2SAT-comparison,util,CustomStack,2,79,1,5,1,19,1,7,0,5
2SAT-comparison,util,CustomHashmap,59,149,12,16,17,39,11,10,0,7
2SAT-comparison,util,CustomArrayList,79,103,12,8,17,25,10,12,2,10
2SAT-comparison,util,CustomHashmap.HashMapEntry,4,18,0,0,2,7,1,3,1,3
2SAT-comparison,ui,ConsoleUI,293,0,30,0,72,0,25,0,7,0
